URL,Version,Status,OIDs,Name,Title,Description,Used
https://www.ehealth.fgov.be/standards/fhir/lab/CodeSystem/be-cs-coded-annotation-types,1.0.0,active,,BeCSCodedAnnotationTypes,Coded Annotation Type Codes,"Code System for specific types of coded annotations",
https://www.ehealth.fgov.be/standards/fhir/medication/CodeSystem/BeMedicationLineAdherenceStatus,1.1.0,active,,BeMedicationLineAdherenceStatus,Medication Line Adherence Status,"Medication Line Adherence Status - ValueSet.",
https://www.ehealth.fgov.be/standards/fhir/medication/CodeSystem/BeMedicationLineAdherenceStatusReason,1.1.0,active,,BeMedicationLineAdherenceStatusReason,Adherence Status Reason,"Reasons for non-adherence to a treatment or intervention.",
https://www.ehealth.fgov.be/standards/fhir/medication/CodeSystem/BeMedicationLineOriginType,1.1.0,active,,BeMedicationLineOriginType,Medication origin Type,"Medication origin type",
https://www.ehealth.fgov.be/standards/fhir/medication/CodeSystem/BeMedicationLineRegistrationStatus,1.1.0,active,,BeMedicationLineRegistrationStatus,Medication Line Registration Status,"This code system defines the registration statuses for medication lines.",
https://www.ehealth.fgov.be/standards/fhir/medication/CodeSystem/BeMedicationRequestReimbursementType,1.1.0,active,,BeMedicationRequestReimbursementType,Medication request reimbursement type,"Medication request reimbursement type - instructions for reimbursement of the medication request",
https://www.ehealth.fgov.be/standards/fhir/medication/CodeSystem/BeMedicationType,1.1.0,active,,BeMedicationType,Medication preparation Type,"Medication preparation type",
https://www.ehealth.fgov.be/standards/fhir/patientwill/CodeSystem/be-cs-patientwill-category,1.0.0,active,,BeCSPatientWillCategory,Patient Will Category CodeSystem,"Patient Will Category CodeSystem",
https://www.ehealth.fgov.be/standards/fhir/patientwill/CodeSystem/be-cs-patientwill-code,1.0.0,active,,BeCSPatientWillCode,Patient Will Directive CodeSystem,"Patient Will Directive CodeSystem. Codes as defined by the NIHDI.",
https://www.ehealth.fgov.be/standards/fhir/pss/CodeSystem/PSSQSIConditions,1.0.0,active,"2.16.840.1.113883.2.51.22.2.16.1",PSSQSIConditions,PSS-QSI condition codes,"Condition codes from the QSI system",
https://www.ehealth.fgov.be/standards/fhir/pss/CodeSystem/PSSQSIProcedures,1.0.0,active,"2.16.840.1.113883.2.51.22.2.16.2",PSSQSIProcedures,PSS-QSI procedure codes,"Procedure codes from the QSI system",
https://www.ehealth.fgov.be/standards/fhir/pss/CodeSystem/PSSRatingTypes,1.0.0,active,"2.16.840.1.113883.2.51.22.2.16.3",PSSRatingTypes,CodeSystem: Types of rating provided by the PSS system,"CodeSystem: Types of rating provided by the PSS system",
https://www.ehealth.fgov.be/standards/fhir/public-health/CodeSystem/be-cs-populationscreening-next-invitation-type,1.0.3,active,,BeCSPopulationScreeningNextInvitationType,Population Screening Next Invitation Type,"Code System containing the codes for the type of the next invitation (or exclusion of next invitation)",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-agreement-errors,2.1.2,active,,BeCSMyCareNetAgreementErrors,MyCareNet Agreement errors,"Errors in the agreement flows of MyCareNet. These values were delivered by the  NIC(Nationaal Intermutualistisch College)/CIN(Collège Intermutualiste National.) Not all codes are defined here, a full list can be found on MyCareNet.be.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-agreement-types,2.1.2,active,,BeCSMyCareNetAgreementTypes,MyCareNet Agreement types,"Agreement types for MyCareNet flows. Not all codes are defined here, a full list can be found on mycarenet.be",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-annex-types,2.1.2,active,,BeCSMyCareNetAnnexTypes,MyCareNet Annex types,"Annex types for MyCareNet flows. Not all codes are defined here, a full list can be found on mycarenet.be",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-decision-values,2.1.2,active,,BeCSMyCareNetDecisionValues,MyCareNet Decision values,"Decision values in the agreement flows of MyCareNet. These values were delivered by the  NIC(Nationaal Intermutualistisch College)/CIN(Collège Intermutualiste National.) The codes are not defined here, a full list can be found on mycarenet.be.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-holder-code-1,2.1.2,active,,BeCSMyCareNetHolderCode1,MyCareNet Insurability code CT1,"see http://www.securimed.eu/fr/tiers-payant/codes-dassurabilite",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-holder-code-2,2.1.2,active,,BeCSMyCareNetHolderCode2,MyCareNet Insurability code CT2,"see http://www.securimed.eu/fr/tiers-payant/codes-dassurabilite",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-message-events,2.1.2,active,,BeCSMyCareNetMessageEvents,MyCareNet Message events,"Message events for MyCareNet flows.Not all codes are defined here, a full list can be found on mycarenet.be",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-nihdi-physiotherapy-pathologysituationcode,2.1.2,active,,BeCSMyCareNetNIHDIPhysiotherapyPathologySituationCode,MyCareNet NIHDIPhysiotherapyPathology,"Legal pathology situation codes as defined by NIHDI to be used in the pathology registration flows of MyCareNet. These values are managed by NIHDI. The codes are not defined here. Consult the cookbooks on mycarenet.be for concrete usage instructions.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-partial-agreement-values,2.1.2,active,,BeCSMyCareNetPartialAgreementValues,BeCSMyCareNetPartialAgreementValues,"MyCareNet Partial agreement values",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-refusal-values,2.1.2,active,,BeCSMyCareNetRefusalValues,MyCareNet Refusal values,"Refusal values in the agreement flows of MyCareNet. These values were delivered by the  NIC(Nationaal Intermutualistisch College)/CIN(Collège Intermutualiste National.)",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-mycarenet-waitingforinformation-values,2.1.2,active,,BeCSMyCareNetWaitingForInformationValues,MyCareNet Waiting for information values,"Waiting for information values in the agreement flows of MyCareNet. These values were delivered by the  NIC(Nationaal Intermutualistisch College)/CIN(Collège Intermutualiste National.)",
https://www.ehealth.fgov.be/standards/fhir/vaccination/CodeSystem/be-cs-vaccination-administration-route,1.1.2,draft,,BeCSVaccineAdministrationRoute,BeCSVaccineAdministrationRoute,"Vaccine Administration Route",
https://www.ehealth.fgov.be/standards/fhir/vaccination/CodeSystem/be-cs-vaccination-confirmation-status,1.1.2,draft,,BeCSVaccinationConfirmationStatus,BeCSVaccinationConfirmationStatus,"Vaccination status Code System.",
https://www.ehealth.fgov.be/standards/fhir/vaccination/CodeSystem/be-cs-vaccination-status-reason,1.1.2,draft,,BeCSStatusReason,BeCSStatusReason,"Vaccination reason status Code System.",
https://www.ehealth.fgov.be/standards/fhir/vaccination/CodeSystem/be-cs-vaccine-code,1.1.2,active,,BeCSVaccineCode,BeCSVaccineCode,"Vaccine Code Code System - set of Belgian codes for types of vaccines that are administered",
https://www.ehealth.fgov.be/standards/fhir/vaccination/CodeSystem/be-cs-vaccine-target-disease,1.1.2,draft,,BeCSVaccineTargetDisease,BeCSVaccineTargetDisease,"Vaccine Target Disease Code System - set of Belgian codes for diseases targeted by the vaccines",
