URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-manual-input-justification,1.0.0,active,,BeCSIdDocManualInputJustification,Id Doc Manual Input Justification,"RT52Z3 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-manual-input-justification"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-media-type,1.0.0,active,,BeCSIdDocMediaType,Id Doc Media Type,"RT52Z10 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-media-type"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-id-doc-vignette-use-justification,1.0.0,active,,BeCSIdDocVignetteUseJustification,Id Doc Vignette Use Justification,"RT52Z11 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-id-doc-vignette-use-justification"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-requester-norm,1.0.0,active,,BeCSRequesterNorm,Prescriber Standard,"RT50Z26 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-requester-norm"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-speech-therapy-pathology-situation-code,1.0.0,active,,BeCSSpeechTherapyPathologySituationCode,Speech Therapy Pathology Situation code,"Texte de la nomenclature (Article 36, par. 2)","ValueSet/be-vs-speech-therapy-pathology-situation-code,ValueSet/eagreementproductorservice"
https://hl7belgium.org/profiles/fhir/terminology/CodeSystem/be-cs-treatment-reason,1.0.0,active,,BeCSTreatmentReason,Treatment Reason,"RT20Z17 in https://www.inami.fgov.be/SiteCollectionDocuments/instructions_facturation_electronique.pdf","ValueSet/be-vs-treatment-reason"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-bodysite,1.0.0,active,,BeCSBodySite,Body Site CodeSystem,"Body Site CodeSystem","ValueSet/be-vs-bodysite"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-category,1.0.0,active,,BeCSProblemCategory,Problem Category,"Problem Category","ValueSet/be-vs-problem-category"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-problem-origin-type,1.0.0,active,,BeCSProblemOriginType,Problem Origin Type,"Problem Origin Type","ValueSet/be-vs-problem-origin-type"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-score,1.0.0,active,,BeCSScore,Score Code System,"Codes as defined initially by the NIHDI. Dutch translations were not yet defined but are planned   for a next release.","ValueSet/be-vs-score"
https://www.ehealth.fgov.be/standards/fhir/core-clinical/CodeSystem/be-cs-score-category,1.0.0,active,,BeCSScoreCategory,Score Category,"Score Category","ValueSet/be-vs-scorecategory"
https://www.ehealth.fgov.be/standards/fhir/core/CodeSystem/be-cs-care-location,2.1.2,active,,BeCSCareLocation,BeCSCareLocation,"Care Location Code System","ValueSet/be-vs-care-location"
https://www.ehealth.fgov.be/standards/fhir/core/CodeSystem/cd-civilstate,2.1.2,active,,CivilState,BeCdCivilState,"Civil state in Belgium.","ValueSet/be-civilstate"
https://www.ehealth.fgov.be/standards/fhir/core/CodeSystem/cd-contact-person,2.1.2,active,,ContactPerson,BeCdContactPerson,"Contact person in Belgium.","ValueSet/be-contactperson"
https://www.ehealth.fgov.be/standards/fhir/core/CodeSystem/cd-hcparty,2.1.2,active,,HCParty,BeCdHcParty,"healthcare party in Belgium.","ValueSet/be-vs-cd-hcparty,ValueSet/be-vs-dispenser-types"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-annex81-status-reason,1.0.0,draft,,BeCSAnnex81StatusReason,BeCSAnnex81StatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the Annex 81","ValueSet/be-vs-annex81-status-reason"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-temp-requested-service,1.0.0,active,,BeTempRequestedService,BeTempRequestedService,"DEMONSTRATIVE EXAMPLE - Temporary codes for indicating services that can be requested from a Nurse","ValueSet/be-vs-requested-services-nurse"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-temp-requested-service-detail,1.0.0,active,,BeTempRequestedServiceDetail,BeTempRequestedServiceDetail,"DEMONSTRATIVE EXAMPLE - Temporary codes for indicating service details that can be requested from a Nurse","ValueSet/be-vs-requested-services-nurse-detail"
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-prescription-status-reason,1.0.0,active,,BePrescriptionStatusReason,BePrescriptionStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the prescription. Initially defined as supporting CodeSystem for the referral prescription.","ValueSet/be-vs-prescription-status-reason"
